"","x"
"A2FPDWTD9AENVK",3
"A2FRKEXDXDN1KI",2
"A2FS38D943KX12",1
"A2FTHCGH06O4Y5",3
"A2FWEZ0QS8N7A7",1
"A2G6GO4O7EVCPF",1
"A2G8D1VN3MVB6F",1
"A2G8IR6ENZSQHF",1
"A2GA2SO3YK6CXI",3
"A2GANR9I6XHTU9",1
"A2GB5CG77LGQRB",1
"A2GBJQ9THOYDAJ",2
"A2GCHG6U8HTVIT",2
"A2GMUNBN9HKRZS",1
"A2GPEV42IO41CI",2
"A2GPN2VKS8E77C",2
"A2GYX971VETQBV",3
"A2H1WNB30JNAWU",1
"A2H22I2RWE0HOV",3
"A2H44WVZS59KKT",3
"A2HII4U9WQ0XUV",2
"A2HJB9J5O5CLPB",3
"A2HJZ2KN9YA9L2",1
"A2HVL790PBWYTU",2
"A2HW33PQSRHLNO",3
"A2HWD9PTM7RBXN",1
"A2I6MHMAZZDCRX",2
"A2I7ZAB04Q0DML",1
"A2ICW5OUWX2A2V",1
"A2II09GQGWOMTQ",2
"A2INL3AYAT6325",2
"A2IY9M330NKBW6",1
"A2IZIYYCEGOMEU",2
"A2J57EQ9KPGXR9",3
"A2JDYUSI2RILEB",1
"A2JHHYYOOO4DS6",3
"A2JP0URFHXP6DO",1
"A2JTD6D79HNA5X",3
"A2JXAQ92WYPAAR",3
"A2JYIDH7JIG48H",3
"A2K3L0DOPQQ697",3
"A2KB14WCZ1DVE3",3
"A2KG8WLR1AKO12",3
"A2KW2KWKABNYNO",3
"A2KWQ64TRHB3YH",3
"A2L7WYA5OENV03",1
"A2LAA9SCENXLKN",1
"A2LBG01YBSUP96",1
"A2LGRPM88JDWP6",1
"A2LR4NR0G8KO7C",1
"A2LSRBVD2MK3PL",1
"A2LW5AL0KQ9P1M",1
"A2LXG7XUQNZO6E",3
"A2M1N8G4W4END8",1
"A2M597GCCE1N2S",3
"A2M5FI4CB6VUXF",3
"A2MFNDNS1L7D16",2
"A2MG8DHACXH5MS",2
"A2MNMZMM6BGLTA",2
"A2MQQI4UYT9C11",3
"A2MS6UV7ZGTMLR",1
"A2MUD2VY9HWFXQ",3
"A2MYUI8IT6UBUU",2
"A2N69DJM8NVYZ6",3
"A2NBOL825B93OM",3
"A2NJO6YE954DBH",2
"A2NOZB6VZCTOI4",1
"A2NUHWMHA9XNKV",2
"A2NX5UZ6WEZF0R",1
"A2NX99GVAX4TRP",1
"A2NYQCLFQRTI74",1
"A2NZAGMAS7N5ZP",3
"A2O97GKCSISM3F",1
"A2OCJNB6B46OKP",2
"A2ODBHT4URXVXQ",3
"A2OFSDJB3MVQ16",2
"A2OLJM7IREKPWZ",2
"A2OU415LB9I5J6",3
"A2OXDJP1Z3LNOK",3
"A2P2JXU9JEYNV3",1
"A2P49WD75WHAG5",3
"A2PBV1899CX3TE",2
"A2PIX2K56IZZYX",1
"A2PMQH87R1H3QU",3
"A2PN7Z2VTHICL8",2
"A2PNTEDGMOLMOY",2
"A2PR6NXG0PA3KY",3
"A2PV6GK1HV54Y9",2
"A2PXHFGJZBNLXB",1
"A2Q13PHEXGR48Q",3
"A2Q457CES5ZUZ",1
"A2Q5Y2EMS6KDWI",1
"A2Q7YBUV8IPTLW",1
"A2QH5NMHW1KTJ1",1
"A2QHM5HBSIXRL4",2
"A2QQHIY23PL7H3",1
"A2R1HAXRNU0QX7",2
"A2R4XG0L7Z01V8",2
"A2R6RA8FRBS608",2
"A2RDR5G65D9H84",2
"A2RFG9LI7JDILS",3
"A2RH7ARWQSUVQV",3
"A2RHQMV5GD18Z8",2
"A2RHV42BTJSVON",1
"A2RKI7RPP5CJMG",2
"A2RW7HXNEJ0QTQ",1
"A2S166WSCFIFP5",3
"A2SGR7LE899LGG",3
"A2SLA0SXRQV8M0",1
"A2SNUORW55MZWO",1
"A2SRZQU1SZG4RR",1
"A2T049UQONS0OY",3
"A2T2MYZEB81NOQ",3
"A2T7TZBOTP68C7",2
"A2TAPL67U2A5HM",2
"A2TAPSNKK9AFSQ",3
"A2TDK8D4HEMUYW",1
"A2TLLX0ZBMZTK7",1
"A2TV6SBCWT7P8S",1
"A2TWIZ33KJCQ54",3
"A2TXR85WQLE32N",2
